<a_128><b_64><c_73>	Salmonella gastroenteritis	ICD9CM:0030
<a_240><b_246><c_167>	Iron deficiency anemia, unspecified	ICD9CM:2809
<a_174><b_191><c_40>	Pernicious anemia	ICD9CM:2810
<a_41><b_134><c_40>	Other vitamin B12 deficiency anemia	ICD9CM:2811
<a_57><b_222><c_44>	Folate-deficiency anemia	ICD9CM:2812
<a_240><b_205><c_52>	Anemia associated with other specified nutritional deficiency	ICD9CM:2818
<a_240><b_148><c_133>	Unspecified deficiency anemia	ICD9CM:2819
<a_57><b_156><c_28>	Hereditary spherocytosis	ICD9CM:2820
<a_183><b_12><c_37>	Anemias due to disorders of glutathione metabolism	ICD9CM:2822
<a_86><b_230><c_209>	Other hemolytic anemias due to enzyme deficiency	ICD9CM:2823
<a_183><b_42><c_201>	Thalassemias	ICD9CM:2824
<a_240><b_246><c_6>	Thalassemia, unspecified	ICD9CM:28240
<a_135><b_199><c_121>	Alpha thalassemia	ICD9CM:28243
<a_57><b_156><c_23>	Thalassemia minor	ICD9CM:28246
<a_86><b_84><c_0>	Other thalassemia	ICD9CM:28249
<a_57><b_29><c_239>	Sickle-cell trait	ICD9CM:2825
<a_240><b_118><c_39>	Sickle-cell disease, unspecified	ICD9CM:28260
<a_79><b_22><c_40>	Hb-SS disease with crisis	ICD9CM:28262
<a_240><b_50><c_200>	Hereditary hemolytic anemia, unspecified	ICD9CM:2829
<a_183><b_176><c_93>	Autoimmune hemolytic anemias	ICD9CM:2830
<a_240><b_53><c_179>	Non-autoimmune hemolytic anemia, unspecified	ICD9CM:28310
<a_47><b_40><c_103>	Hemolytic-uremic syndrome	ICD9CM:28311
<a_86><b_84><c_149>	Other non-autoimmune hemolytic anemias	ICD9CM:28319
<a_79><b_203><c_44>	Hemoglobinuria due to hemolysis from external causes	ICD9CM:2832
<a_240><b_53><c_55>	Acquired hemolytic anemia, unspecified	ICD9CM:2839
<a_57><b_58><c_61>	Pancytopenia	ICD9CM:2841
<a_167><b_72><c_124>	Antineoplastic chemotherapy induced pancytopenia	ICD9CM:28411
<a_132><b_147><c_72>	Other drug-induced pancytopenia	ICD9CM:28412
<a_86><b_84><c_9>	Other pancytopenia	ICD9CM:28419
<a_57><b_110><c_214>	Myelophthisis	ICD9CM:2842
<a_86><b_218><c_0>	Other specified aplastic anemias	ICD9CM:2848
<a_86><b_218><c_0>	Other specified aplastic anemias	ICD9CM:28489
<a_240><b_53><c_109>	Aplastic anemia, unspecified	ICD9CM:2849
<a_31><b_186><c_44>	Acute posthemorrhagic anemia	ICD9CM:2851
<a_79><b_44><c_44>	Anemia in chronic kidney disease	ICD9CM:28521
<a_57><b_64><c_214>	Anemia in neoplastic disease	ICD9CM:28522
<a_183><b_22><c_139>	Anemia of other chronic disease	ICD9CM:28529
<a_254><b_111><c_35>	Antineoplastic chemotherapy induced anemia	ICD9CM:2853
<a_86><b_80><c_230>	Other specified anemias	ICD9CM:2858
<a_240><b_246><c_21>	Anemia, unspecified	ICD9CM:2859
<a_79><b_218><c_127>	Congenital factor VIII disorder	ICD9CM:2860
<a_79><b_110><c_127>	Congenital factor IX disorder	ICD9CM:2861
<a_79><b_110><c_73>	Congenital factor XI deficiency	ICD9CM:2862
<a_79><b_135><c_209>	Congenital deficiency of other clotting factors	ICD9CM:2863
<a_79><b_110><c_29>	Von Willebrand's disease	ICD9CM:2864
<a_79><b_79><c_223>	Hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors	ICD9CM:2865
<a_47><b_37><c_214>	Acquired hemophilia	ICD9CM:28652
<a_47><b_218><c_40>	Defibrination syndrome	ICD9CM:2866
<a_79><b_204><c_40>	Acquired coagulation factor deficiency	ICD9CM:2867
<a_86><b_80><c_223>	Other and unspecified coagulation defects	ICD9CM:2869
<a_57><b_84><c_40>	Qualitative platelet defects	ICD9CM:2871
<a_57><b_179><c_52>	Primary thrombocytopenia	ICD9CM:2873
<a_240><b_71><c_61>	Primary thrombocytopenia,unspecified	ICD9CM:28730
<a_57><b_22><c_97>	Immune thrombocytopenic purpura	ICD9CM:28731
<a_57><b_134><c_61>	Evans' syndrome	ICD9CM:28732
<a_57><b_55><c_97>	Secondary thrombocytopenia	ICD9CM:2874
<a_86><b_186><c_44>	Other secondary thrombocytopenia	ICD9CM:28749
<a_240><b_206><c_16>	Thrombocytopenia, unspecified	ICD9CM:2875
<a_142><b_56><c_199>	Unspecified hemorrhagic conditions	ICD9CM:2879
<a_138><b_218><c_139>	Neutropenia	ICD9CM:2880
<a_240><b_239><c_179>	Neutropenia, unspecified	ICD9CM:28800
<a_138><b_84><c_201>	Cyclic neutropenia	ICD9CM:28802
<a_132><b_253><c_225>	Drug induced neutropenia	ICD9CM:28803
<a_73><b_176><c_214>	Neutropenia due to infection	ICD9CM:28804
<a_86><b_110><c_236>	Other neutropenia	ICD9CM:28809
<a_183><b_199><c_152>	Functional disorders of polymorphonuclear neutrophils	ICD9CM:2881
<a_130><b_4><c_115>	Eosinophilia	ICD9CM:2883
<a_183><b_247><c_214>	Hemophagocytic syndromes	ICD9CM:2884
<a_240><b_189><c_179>	Leukocytopenia, unspecified	ICD9CM:28850
<a_138><b_28><c_214>	Lymphocytopenia	ICD9CM:28851
<a_86><b_110><c_230>	Other decreased white blood cell count	ICD9CM:28859
<a_240><b_113><c_166>	Leukocytosis, unspecified	ICD9CM:28860
<a_73><b_63><c_40>	Lymphocytosis (symptomatic)	ICD9CM:28861
<a_57><b_154><c_105>	Leukemoid reaction	ICD9CM:28862
<a_248><b_40><c_103>	Bandemia	ICD9CM:28866
<a_25><b_115><c_158>	Other specified disease of white blood cells	ICD9CM:2888
<a_79><b_179><c_57>	Polycythemia, secondary	ICD9CM:2890
<a_156><b_235><c_126>	Lymphadenitis, unspecified, except mesenteric	ICD9CM:2893
<a_79><b_154><c_40>	Hypersplenism	ICD9CM:2894
<a_240><b_41><c_40>	Disease of spleen, unspecified	ICD9CM:28950
<a_47><b_150><c_52>	Chronic congestive splenomegaly	ICD9CM:28951
<a_47><b_84><c_40>	Splenic sequestration	ICD9CM:28952
<a_86><b_110><c_23>	Other diseases of spleen	ICD9CM:28959
<a_79><b_76><c_40>	Methemoglobinemia	ICD9CM:2897
<a_25><b_174><c_29>	Other specified diseases of blood and blood-forming organs	ICD9CM:2898
<a_175><b_193><c_229>	Primary hypercoagulable state	ICD9CM:28981
<a_175><b_193><c_52>	Secondary hypercoagulable state	ICD9CM:28982
<a_57><b_110><c_201>	Myelofibrosis	ICD9CM:28983
<a_47><b_41><c_201>	Heparin-induced thrombocytopenia (HIT)	ICD9CM:28984
<a_25><b_174><c_82>	Other specified diseases of blood and blood-forming organs	ICD9CM:28989
<a_142><b_117><c_85>	Unspecified diseases of blood and blood-forming organs	ICD9CM:2899
<a_203><b_131><c_184>	Senile dementia, uncomplicated	ICD9CM:2900
<a_203><b_131><c_82>	Presenile dementia, uncomplicated	ICD9CM:29010
<a_213><b_253><c_125>	Senile dementia with delirium	ICD9CM:2903
<a_203><b_100><c_218>	Vascular dementia, uncomplicated	ICD9CM:29040
<a_213><b_217><c_73>	Vascular dementia, with delirium	ICD9CM:29041
<a_213><b_131><c_73>	Vascular dementia, with delusions	ICD9CM:29042
<a_214><b_171><c_98>	Alcohol withdrawal delirium	ICD9CM:2910
<a_214><b_114><c_210>	Alcohol-induced persisting amnestic disorder	ICD9CM:2911
<a_214><b_114><c_85>	Alcohol-induced persisting dementia	ICD9CM:2912
<a_214><b_82><c_168>	Alcohol-induced psychotic disorder with hallucinations	ICD9CM:2913
<a_214><b_232><c_85>	Alcohol withdrawal	ICD9CM:29181
<a_24><b_17><c_185>	Drug withdrawal	ICD9CM:2920
<a_209><b_103><c_142>	Drug-induced psychotic disorder with delusions	ICD9CM:29211
<a_209><b_54><c_179>	Drug-induced psychotic disorder with hallucinations	ICD9CM:29212
<a_209><b_219><c_150>	Drug-induced delirium	ICD9CM:29281
<a_209><b_230><c_179>	Drug-induced mood disorder	ICD9CM:29284
<a_209><b_77><c_203>	Drug induced sleep disorders	ICD9CM:29285
<a_209><b_94><c_199>	Other specified drug-induced mental disorders	ICD9CM:29289
<a_214><b_101><c_132>	Unspecified drug-induced mental disorder	ICD9CM:2929
<a_88><b_233><c_28>	Delirium due to conditions classified elsewhere	ICD9CM:2930
<a_213><b_33><c_150>	Subacute delirium	ICD9CM:2931
<a_84><b_93><c_173>	Mood disorder in conditions classified elsewhere	ICD9CM:29383
<a_88><b_233><c_4>	Other specified transient mental disorders due to conditions classified elsewhere, other	ICD9CM:29389
<a_88><b_10><c_146>	Unspecified transient mental disorder in conditions classified elsewhere	ICD9CM:2939
<a_84><b_131><c_15>	Amnestic disorder in conditions classified elsewhere	ICD9CM:2940
<a_84><b_100><c_181>	Dementia in conditions classified elsewhere without behavioral disturbance	ICD9CM:29410
<a_84><b_131><c_179>	Dementia in conditions classified elsewhere with behavioral disturbance	ICD9CM:29411
<a_83><b_72><c_57>	Dementia, unspecified, without behavioral disturbance	ICD9CM:29420
<a_84><b_100><c_39>	Other persistent mental disorders due to conditions classified elsewhere	ICD9CM:2948
<a_88><b_10><c_88>	Unspecified persistent mental disorders due to conditions classified elsewhere	ICD9CM:2949
<a_83><b_60><c_6>	Disorganized type schizophrenia, chronic	ICD9CM:29512
<a_83><b_56><c_100>	Catatonic type schizophrenia, unspecified	ICD9CM:29520
<a_83><b_56><c_124>	Paranoid type schizophrenia, unspecified	ICD9CM:29530
<a_83><b_60><c_4>	Paranoid type schizophrenia, chronic	ICD9CM:29532
<a_83><b_185><c_88>	Schizophreniform disorder, unspecified	ICD9CM:29540
<a_83><b_246><c_145>	Schizophrenic disorders, residual type, unspecified	ICD9CM:29560
<a_83><b_60><c_23>	Schizophrenic disorders, residual type, chronic	ICD9CM:29562
<a_83><b_95><c_202>	Schizoaffective disorder, unspecified	ICD9CM:29570
<a_83><b_60><c_2>	Schizoaffective disorder, chronic	ICD9CM:29572
<a_83><b_24><c_47>	Other specified types of schizophrenia, unspecified	ICD9CM:29580
<a_83><b_185><c_101>	Unspecified schizophrenia, unspecified	ICD9CM:29590
<a_83><b_203><c_100>	Unspecified schizophrenia, chronic	ICD9CM:29592
<a_204><b_237><c_3>	Major depressive affective disorder, single episode, unspecified	ICD9CM:29620
<a_204><b_237><c_235>	Major depressive affective disorder, single episode, mild	ICD9CM:29621
<a_204><b_57><c_72>	Major depressive affective disorder, single episode, moderate	ICD9CM:29622
<a_204><b_57><c_14>	Major depressive affective disorder, single episode, severe, without mention of psychotic behavior	ICD9CM:29623
<a_204><b_60><c_129>	Major depressive affective disorder, single episode, severe, specified as with psychotic behavior	ICD9CM:29624
<a_204><b_237><c_39>	Major depressive affective disorder, recurrent episode, unspecified	ICD9CM:29630
<a_204><b_57><c_23>	Major depressive affective disorder, recurrent episode, moderate	ICD9CM:29632
<a_204><b_57><c_88>	Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior	ICD9CM:29633
<a_204><b_60><c_73>	Major depressive affective disorder, recurrent episode, severe, specified as with psychotic behavior	ICD9CM:29634
<a_83><b_129><c_204>	Bipolar I disorder, most recent episode (or current) manic, unspecified	ICD9CM:29640
<a_204><b_164><c_40>	Bipolar I disorder, most recent episode (or current) depressed, unspecified	ICD9CM:29650
<a_204><b_189><c_40>	Bipolar I disorder, most recent episode (or current) depressed, mild	ICD9CM:29651
<a_204><b_237><c_30>	Bipolar I disorder, most recent episode (or current) depressed, severe, without mention of psychotic behavior	ICD9CM:29653
<a_204><b_233><c_150>	Bipolar I disorder, most recent episode (or current) unspecified	ICD9CM:2967
<a_83><b_212><c_36>	Bipolar disorder, unspecified	ICD9CM:29680
<a_84><b_40><c_121>	Other bipolar disorders	ICD9CM:29689
<a_88><b_74><c_155>	Unspecified episodic mood disorder	ICD9CM:29690
<a_88><b_192><c_158>	Other specified episodic mood disorder	ICD9CM:29699
<a_54><b_108><c_129>	Delusional disorder	ICD9CM:2971
<a_84><b_166><c_39>	Other specified paranoid states	ICD9CM:2978
<a_88><b_134><c_190>	Unspecified paranoid state	ICD9CM:2979
<a_54><b_100><c_248>	Depressive type psychosis	ICD9CM:2980
<a_88><b_61><c_248>	Unspecified psychosis	ICD9CM:2989
<a_83><b_255><c_196>	Autistic disorder, current or active state	ICD9CM:29900
<a_88><b_233><c_103>	Other specified pervasive developmental disorders, current or active state	ICD9CM:29980
<a_218><b_93><c_72>	Anxiety state, unspecified	ICD9CM:30000
<a_232><b_74><c_73>	Panic disorder without agoraphobia	ICD9CM:30001
<a_232><b_166><c_105>	Generalized anxiety disorder	ICD9CM:30002
<a_232><b_217><c_180>	Conversion disorder	ICD9CM:30011
<a_148><b_131><c_122>	Dissociative amnesia	ICD9CM:30012
<a_54><b_132><c_21>	Dissociative identity disorder	ICD9CM:30014
<a_232><b_131><c_112>	Agoraphobia with panic disorder	ICD9CM:30021
<a_232><b_40><c_45>	Agoraphobia without mention of panic attacks	ICD9CM:30022
<a_232><b_16><c_40>	Other isolated or specific phobias	ICD9CM:30029
<a_54><b_16><c_253>	Obsessive-compulsive disorders	ICD9CM:3003
<a_54><b_122><c_39>	Dysthymic disorder	ICD9CM:3004
<a_88><b_169><c_41>	Unspecified nonpsychotic mental disorder	ICD9CM:3009
<a_83><b_185><c_73>	Schizoid personality disorder, unspecified	ICD9CM:30120
<a_54><b_121><c_39>	Schizotypal personality disorder	ICD9CM:30122
<a_54><b_63><c_74>	Explosive personality disorder	ICD9CM:3013
<a_54><b_218><c_48>	Obsessive-compulsive personality disorder	ICD9CM:3014
<a_54><b_197><c_48>	Antisocial personality disorder	ICD9CM:3017
<a_54><b_51><c_20>	Narcissistic personality disorder	ICD9CM:30181
<a_54><b_40><c_23>	Borderline personality disorder	ICD9CM:30183
<a_88><b_93><c_110>	Unspecified personality disorder	ICD9CM:3019
<a_55><b_166><c_23>	Trans-sexualism with unspecified sexual history	ICD9CM:30250
<a_148><b_166><c_135>	Gender identity disorder in adolescents or adults	ICD9CM:30285
<a_88><b_106><c_133>	Unspecified psychosexual disorder	ICD9CM:3029
<a_214><b_147><c_72>	Acute alcoholic intoxication in alcoholism, unspecified	ICD9CM:30300
<a_214><b_90><c_190>	Acute alcoholic intoxication in alcoholism, continuous	ICD9CM:30301
<a_214><b_122><c_40>	Acute alcoholic intoxication in alcoholism, episodic	ICD9CM:30302
<a_214><b_90><c_85>	Acute alcoholic intoxication in alcoholism, in remission	ICD9CM:30303
<a_176><b_173><c_105>	Other and unspecified alcohol dependence, unspecified	ICD9CM:30390
<a_176><b_231><c_120>	Other and unspecified alcohol dependence, continuous	ICD9CM:30391
<a_214><b_253><c_211>	Other and unspecified alcohol dependence, episodic	ICD9CM:30392
<a_214><b_38><c_202>	Other and unspecified alcohol dependence, in remission	ICD9CM:30393
<a_176><b_67><c_139>	Opioid type dependence, unspecified	ICD9CM:30400
<a_66><b_67><c_116>	Opioid type dependence, continuous	ICD9CM:30401
<a_66><b_51><c_45>	Opioid type dependence, episodic	ICD9CM:30402
<a_66><b_53><c_52>	Opioid type dependence, in remission	ICD9CM:30403
<a_176><b_157><c_109>	Sedative, hypnotic or anxiolytic dependence, unspecified	ICD9CM:30410
<a_66><b_113><c_199>	Sedative, hypnotic or anxiolytic dependence, continuous	ICD9CM:30411
<a_176><b_194><c_239>	Cocaine dependence, unspecified	ICD9CM:30420
<a_66><b_103><c_41>	Cocaine dependence, continuous	ICD9CM:30421
<a_66><b_147><c_205>	Cocaine dependence, episodic	ICD9CM:30422
<a_66><b_224><c_71>	Cocaine dependence, in remission	ICD9CM:30423
<a_66><b_135><c_217>	Cannabis dependence, continuous	ICD9CM:30431
<a_66><b_199><c_78>	Amphetamine and other psychostimulant dependence, continuous	ICD9CM:30441
<a_176><b_241><c_216>	Other specified drug dependence, continuous	ICD9CM:30461
<a_176><b_31><c_35>	Combinations of opioid type drug with any other drug dependence, unspecified	ICD9CM:30470
<a_66><b_235><c_200>	Combinations of opioid type drug with any other drug dependence, continuous	ICD9CM:30471
<a_66><b_53><c_42>	Combinations of opioid type drug with any other drug dependence, in remission	ICD9CM:30473
<a_66><b_202><c_40>	Combinations of drug dependence excluding opioid type drug, continuous	ICD9CM:30481
<a_66><b_122><c_120>	Combinations of drug dependence excluding opioid type drug, in remission	ICD9CM:30483
<a_176><b_167><c_64>	Unspecified drug dependence, unspecified	ICD9CM:30490
<a_176><b_87><c_176>	Unspecified drug dependence, continuous	ICD9CM:30491
<a_214><b_253><c_150>	Alcohol abuse, unspecified	ICD9CM:30500
<a_214><b_32><c_30>	Alcohol abuse, continuous	ICD9CM:30501
<a_214><b_231><c_115>	Alcohol abuse, episodic	ICD9CM:30502
<a_214><b_215><c_42>	Alcohol abuse, in remission	ICD9CM:30503
<a_214><b_198><c_93>	Tobacco use disorder	ICD9CM:3051
<a_176><b_214><c_184>	Cannabis abuse, unspecified	ICD9CM:30520
<a_66><b_145><c_71>	Cannabis abuse, continuous	ICD9CM:30521
<a_24><b_141><c_48>	Cannabis abuse, episodic	ICD9CM:30522
<a_24><b_53><c_85>	Cannabis abuse, in remission	ICD9CM:30523
<a_176><b_113><c_150>	Sedative, hypnotic or anxiolytic abuse, unspecified	ICD9CM:30540
<a_24><b_137><c_119>	Sedative, hypnotic or anxiolytic abuse, continuous	ICD9CM:30541
<a_24><b_58><c_40>	Sedative, hypnotic or anxiolytic abuse, in remission	ICD9CM:30543
<a_176><b_95><c_142>	Opioid abuse, unspecified	ICD9CM:30550
<a_66><b_90><c_217>	Opioid abuse, continuous	ICD9CM:30551
<a_66><b_214><c_44>	Opioid abuse, episodic	ICD9CM:30552
<a_24><b_32><c_233>	Opioid abuse, in remission	ICD9CM:30553
<a_176><b_40><c_142>	Cocaine abuse, unspecified	ICD9CM:30560
<a_66><b_239><c_142>	Cocaine abuse, continuous	ICD9CM:30561
<a_24><b_25><c_179>	Cocaine abuse, episodic	ICD9CM:30562
<a_24><b_236><c_40>	Cocaine abuse, in remission	ICD9CM:30563
<a_176><b_190><c_150>	Amphetamine or related acting sympathomimetic abuse, unspecified	ICD9CM:30570
<a_24><b_151><c_119>	Amphetamine or related acting sympathomimetic abuse, continuous	ICD9CM:30571
<a_24><b_200><c_217>	Amphetamine or related acting sympathomimetic abuse, in remission	ICD9CM:30573
<a_176><b_189><c_184>	Antidepressant type abuse, unspecified	ICD9CM:30580
<a_24><b_200><c_61>	Antidepressant type abuse, in remission	ICD9CM:30583
<a_176><b_168><c_161>	Other, mixed, or unspecified drug abuse, unspecified	ICD9CM:30590
<a_176><b_120><c_42>	Other, mixed, or unspecified drug abuse, continuous	ICD9CM:30591
<a_24><b_51><c_184>	Other, mixed, or unspecified drug abuse, in remission	ICD9CM:30593
<a_191><b_10><c_201>	Respiratory malfunction arising from mental factors	ICD9CM:3061
<a_84><b_102><c_39>	Other specified psychophysiological malfunction	ICD9CM:3068
<a_88><b_255><c_6>	Unspecified psychophysiological malfunction	ICD9CM:3069
<a_148><b_186><c_239>	Anorexia nervosa	ICD9CM:3071
<a_84><b_102><c_211>	Other specific disorders of sleep of nonorganic origin	ICD9CM:30749
<a_218><b_93><c_82>	Eating disorder, unspecified	ICD9CM:30750
<a_148><b_8><c_40>	Bulimia nervosa	ICD9CM:30751
<a_111><b_17><c_150>	Enuresis	ICD9CM:3076
<a_55><b_242><c_40>	Tension headache	ICD9CM:30781
<a_84><b_186><c_40>	Other pain disorders related to psychological factors	ICD9CM:30789
<a_25><b_93><c_3>	Other and unspecified special symptoms or syndromes, not elsewhere classified	ICD9CM:3079
<a_232><b_192><c_168>	Predominant disturbance of emotions	ICD9CM:3080
<a_148><b_121><c_181>	Predominant psychomotor disturbance	ICD9CM:3082
<a_88><b_253><c_23>	Adjustment disorder with depressed mood	ICD9CM:3090
<a_54><b_15><c_49>	Prolonged depressive reaction	ICD9CM:3091
<a_88><b_253><c_3>	Adjustment disorder with anxiety	ICD9CM:30924
<a_88><b_253><c_8>	Adjustment disorder with mixed anxiety and depressed mood	ICD9CM:30928
<a_54><b_173><c_57>	Adjustment disorder with disturbance of conduct	ICD9CM:3093
<a_54><b_173><c_23>	Adjustment disorder with mixed disturbance of emotions and conduct	ICD9CM:3094
<a_148><b_217><c_23>	Posttraumatic stress disorder	ICD9CM:30981
<a_88><b_255><c_153>	Unspecified adjustment reaction	ICD9CM:3099
<a_213><b_186><c_160>	Frontal lobe syndrome	ICD9CM:3100
<a_84><b_197><c_5>	Personality change due to conditions classified elsewhere	ICD9CM:3101
<a_133><b_85><c_179>	Postconcussion syndrome	ICD9CM:3102
<a_84><b_131><c_225>	Unspecified nonpsychotic mental disorder following organic brain damage	ICD9CM:3109
<a_204><b_185><c_88>	Depressive disorder, not elsewhere classified	ICD9CM:311
<a_88><b_197><c_116>	Impulse control disorder, unspecified	ICD9CM:31230
<a_54><b_67><c_201>	Intermittent explosive disorder	ICD9CM:31234
<a_232><b_122><c_47>	Other conduct disorder	ICD9CM:31289
<a_232><b_6><c_74>	Unspecified disturbance of conduct	ICD9CM:3129
<a_54><b_102><c_125>	Oppositional defiant disorder	ICD9CM:31381
<a_232><b_98><c_104>	Attention deficit disorder without mention of hyperactivity	ICD9CM:31400
<a_232><b_137><c_162>	Attention deficit disorder with hyperactivity	ICD9CM:31401
<a_148><b_169><c_14>	Expressive language disorder	ICD9CM:31531
<a_8><b_8><c_44>	Unspecified delay in development	ICD9CM:3159
<a_232><b_3><c_71>	Psychic factors associated with diseases classified elsewhere	ICD9CM:316
<a_148><b_114><c_181>	Mild intellectual disabilities	ICD9CM:317
<a_148><b_114><c_104>	Moderate intellectual disabilities	ICD9CM:3180
<a_148><b_101><c_40>	Severe intellectual disabilities	ICD9CM:3181
<a_148><b_101><c_42>	Profound intellectual disabilities	ICD9CM:3182
<a_84><b_74><c_39>	Unspecified intellectual disabilities	ICD9CM:319
<a_173><b_15><c_3>	Pneumococcal meningitis	ICD9CM:3201
<a_173><b_15><c_82>	Streptococcal meningitis	ICD9CM:3202
<a_173><b_15><c_243>	Staphylococcal meningitis	ICD9CM:3203
<a_173><b_173><c_124>	Meningitis in other bacterial diseases classified elsewhere	ICD9CM:3207
<a_82><b_104><c_47>	Meningitis due to gram-negative bacteria, not elsewhere classified	ICD9CM:32082
<a_82><b_104><c_110>	Meningitis due to other specified bacteria	ICD9CM:32089
<a_82><b_176><c_195>	Meningitis due to unspecified bacterium	ICD9CM:3209
<a_173><b_22><c_201>	Nonpyogenic meningitis	ICD9CM:3220
<a_173><b_132><c_37>	Chronic meningitis	ICD9CM:3222
<a_82><b_115><c_8>	Meningitis, unspecified	ICD9CM:3229
<a_173><b_173><c_82>	Other encephalitis, myelitis, and encephalomyelitis due to other infections classified elsewhere	ICD9CM:3234
<a_173><b_173><c_73>	Other encephalitis and encephalomyelitis due to other infections classified elsewhere	ICD9CM:32341
<a_173><b_166><c_4>	Other causes of encephalitis, myelitis, and encephalomyelitis	ICD9CM:3238
<a_173><b_166><c_29>	Other causes of encephalitis and encephalomyelitis	ICD9CM:32381
<a_173><b_166><c_72>	Other causes of myelitis	ICD9CM:32382
<a_173><b_166><c_184>	Unspecified causes of encephalitis, myelitis, and encephalomyelitis	ICD9CM:3239
<a_109><b_226><c_139>	Intracranial abscess	ICD9CM:3240
<a_109><b_202><c_40>	Intraspinal abscess	ICD9CM:3241
<a_82><b_255><c_237>	Intracranial and intraspinal abscess of unspecified site	ICD9CM:3249
<a_175><b_122><c_214>	Phlebitis and thrombophlebitis of intracranial venous sinuses	ICD9CM:325
<a_3><b_157><c_116>	Late effects of intracranial abscess or pyogenic infection	ICD9CM:326
<a_217><b_225><c_221>	Primary central sleep apnea	ICD9CM:32721
<a_72><b_180><c_52>	Obstructive sleep apnea (adult)(pediatric)	ICD9CM:32723
<a_177><b_91><c_116>	Idiopathic sleep related non-obstructive alveolar hypoventilation	ICD9CM:32724
<a_225><b_235><c_109>	Congenital central alveolar hypoventilation syndrome	ICD9CM:32725
<a_8><b_98><c_115>	Sleep related hypoventilation/hypoxemia in conditions classifiable elsewhere	ICD9CM:32726
<a_223><b_102><c_23>	Central sleep apnea in conditions classified elsewhere	ICD9CM:32727
<a_84><b_80><c_61>	Circadian rhythm sleep disorder in conditions classified elsewhere	ICD9CM:32737
<a_148><b_199><c_35>	REM sleep behavior disorder	ICD9CM:32742
<a_101><b_121><c_40>	Alzheimer's disease	ICD9CM:3310
<a_223><b_123><c_132>	Other frontotemporal dementia	ICD9CM:33119
<a_102><b_16><c_201>	Communicating hydrocephalus	ICD9CM:3313
<a_102><b_186><c_40>	Obstructive hydrocephalus	ICD9CM:3314
<a_222><b_158><c_100>	Idiopathic normal pressure hydrocephalus (INPH)	ICD9CM:3315
<a_101><b_121><c_184>	Dementia with lewy bodies	ICD9CM:33182
<a_213><b_37><c_89>	Mild cognitive impairment, so stated	ICD9CM:33183
<a_223><b_35><c_247>	Other cerebral degeneration	ICD9CM:33189
<a_203><b_24><c_88>	Cerebral degeneration, unspecified	ICD9CM:3319
<a_75><b_222><c_179>	Paralysis agitans	ICD9CM:3320
<a_122><b_40><c_94>	Other degenerative diseases of the basal ganglia	ICD9CM:3330
<a_122><b_144><c_210>	Essential and other specified forms of tremor	ICD9CM:3331
<a_75><b_121><c_199>	Myoclonus	ICD9CM:3332
<a_75><b_58><c_142>	Genetic torsion dystonia	ICD9CM:3336
<a_101><b_187><c_48>	Acquired torsion dystonia	ICD9CM:3337
<a_209><b_141><c_13>	Acute dystonia due to drugs	ICD9CM:33372
<a_75><b_21><c_13>	Orofacial dyskinesia	ICD9CM:33382
<a_209><b_135><c_45>	Subacute dyskinesia due to drugs	ICD9CM:33385
<a_223><b_79><c_158>	Unspecified extrapyramidal disease and abnormal movement disorder	ICD9CM:33390
<a_124><b_29><c_179>	Stiff-man syndrome	ICD9CM:33391
<a_101><b_18><c_21>	Neuroleptic malignant syndrome	ICD9CM:33392
<a_75><b_44><c_139>	Restless legs syndrome (RLS)	ICD9CM:33394
<a_122><b_21><c_57>	Other extrapyramidal diseases and abnormal movement disorders	ICD9CM:33399
<a_124><b_84><c_13>	Friedreich's ataxia	ICD9CM:3340
<a_124><b_21><c_40>	Hereditary spastic paraplegia	ICD9CM:3341
<a_101><b_64><c_15>	Primary cerebellar degeneration	ICD9CM:3342
<a_122><b_76><c_179>	Other cerebellar ataxia	ICD9CM:3343
<a_122><b_21><c_90>	Cerebellar ataxia in diseases classified elsewhere	ICD9CM:3344
<a_51><b_56><c_39>	Spinocerebellar disease, unspecified	ICD9CM:3349
<a_124><b_126><c_13>	Amyotrophic lateral sclerosis	ICD9CM:33520
<a_101><b_98><c_229>	Progressive bulbar palsy	ICD9CM:33522
<a_101><b_21><c_44>	Pseudobulbar palsy	ICD9CM:33523
<a_101><b_64><c_61>	Syringomyelia and syringobulbia	ICD9CM:3360
<a_122><b_4><c_179>	Vascular myelopathies	ICD9CM:3361
<a_122><b_98><c_131>	Myelopathy in other diseases classified elsewhere	ICD9CM:3363
<a_122><b_222><c_40>	Other myelopathy	ICD9CM:3368
<a_51><b_7><c_88>	Unspecified disease of spinal cord	ICD9CM:3369
<a_124><b_80><c_201>	Idiopathic peripheral autonomic neuropathy	ICD9CM:3370
<a_122><b_218><c_40>	Other idiopathic peripheral autonomic neuropathy	ICD9CM:33709
<a_122><b_186><c_40>	Peripheral autonomic neuropathy in disorders classified elsewhere	ICD9CM:3371
<a_49><b_206><c_91>	Reflex sympathetic dystrophy, unspecified	ICD9CM:33720
<a_252><b_150><c_214>	Reflex sympathetic dystrophy of the upper limb	ICD9CM:33721
<a_170><b_221><c_40>	Reflex sympathetic dystrophy of the lower limb	ICD9CM:33722
<a_252><b_64><c_137>	Reflex sympathetic dystrophy of other specified site	ICD9CM:33729
