<a_2><b_222><c_42>	Salmonella gastroenteritis	ICD9CM:0030
<a_35><b_206><c_214>	Glaucoma associated with vascular disorders	ICD9CM:36563
<a_35><b_83><c_84>	Glaucoma stage, unspecified	ICD9CM:36570
<a_35><b_221><c_117>	Other specified glaucoma	ICD9CM:36589
<a_35><b_83><c_79>	Unspecified glaucoma	ICD9CM:3659
<a_35><b_103><c_48>	Senile nuclear sclerosis	ICD9CM:36616
<a_35><b_181><c_11>	Other cataract	ICD9CM:3668
<a_35><b_222><c_2>	Unspecified cataract	ICD9CM:3669
<a_93><b_206><c_107>	Sudden visual loss	ICD9CM:36811
<a_93><b_60><c_3>	Visual discomfort	ICD9CM:36813
<a_93><b_60><c_1>	Other visual distortions and entoptic phenomena	ICD9CM:36815
<a_93><b_46><c_70>	Psychophysical visual disturbances	ICD9CM:36816
<a_93><b_60><c_31>	Diplopia	ICD9CM:3682
<a_93><b_222><c_127>	Visual field defect, unspecified	ICD9CM:36840
<a_93><b_48><c_170>	Homonymous bilateral field defects	ICD9CM:36846
<a_93><b_48><c_173>	Heteronymous bilateral field defects	ICD9CM:36847
<a_93><b_35><c_87>	Other specified visual disturbances	ICD9CM:3688
<a_93><b_160><c_152>	Unspecified visual disturbance	ICD9CM:3689
<a_93><b_123><c_185>	Profound impairment, both eyes, impairment level not further specified	ICD9CM:36900
<a_93><b_123><c_106>	Unqualified visual loss, both eyes	ICD9CM:3693
<a_93><b_199><c_0>	Legal blindness, as defined in U.S.A.	ICD9CM:3694
<a_93><b_123><c_3>	Profound impairment, one eye, impairment level not further specified	ICD9CM:36960
<a_93><b_123><c_77>	Moderate or severe impairment, one eye, impairment level not further specified	ICD9CM:36970
<a_93><b_103><c_133>	Unqualified visual loss, one eye	ICD9CM:3698
<a_93><b_220><c_38>	Unspecified visual loss	ICD9CM:3699
<a_197><b_86><c_107>	Corneal ulcer, unspecified	ICD9CM:37000
<a_197><b_103><c_1>	Mycotic corneal ulcer	ICD9CM:37005
<a_197><b_103><c_43>	Photokeratitis	ICD9CM:37024
<a_197><b_103><c_245>	Exposure keratoconjunctivitis	ICD9CM:37034
<a_197><b_103><c_106>	Other forms of keratitis	ICD9CM:3708
<a_35><b_220><c_48>	Corneal degeneration, unspecified	ICD9CM:37140
<a_35><b_36><c_43>	Band-shaped keratopathy	ICD9CM:37143
<a_35><b_224><c_170>	Other corneal disorders	ICD9CM:37189
<a_197><b_97><c_170>	Acute conjunctivitis, unspecified	ICD9CM:37200
<a_197><b_147><c_46>	Other mucopurulent conjunctivitis	ICD9CM:37203
<a_197><b_83><c_79>	Conjunctivitis, unspecified	ICD9CM:37230
<a_197><b_48><c_70>	Other conjunctivitis	ICD9CM:37239
<a_197><b_46><c_1>	Pterygium, unspecified	ICD9CM:37240
<a_14><b_182><c_107>	Conjunctival hemorrhage	ICD9CM:37272
<a_14><b_209><c_223>	Conjunctival edema	ICD9CM:37273
<a_197><b_60><c_249>	Blepharitis, unspecified	ICD9CM:37300
<a_208><b_103><c_4>	Hordeolum internum	ICD9CM:37312
<a_208><b_130><c_158>	Abscess of eyelid	ICD9CM:37313
<a_208><b_123><c_63>	Chalazion	ICD9CM:3732
<a_208><b_74><c_79>	Lagophthalmos, unspecified	ICD9CM:37420
<a_208><b_74><c_15>	Ptosis of eyelid, unspecified	ICD9CM:37430
<a_208><b_27><c_151>	Myogenic ptosis	ICD9CM:37432
<a_208><b_226><c_129>	Abnormal innervation syndrome of eyelid	ICD9CM:37443
<a_208><b_174><c_215>	Hyperpigmentation of eyelid	ICD9CM:37452
<a_208><b_222><c_232>	Other disorders of eyelid	ICD9CM:37489
<a_208><b_103><c_1>	Acute dacryoadenitis	ICD9CM:37501
<a_197><b_46><c_17>	Tear film insufficiency, unspecified	ICD9CM:37515
<a_14><b_187><c_3>	Orbital cellulitis	ICD9CM:37601
<a_14><b_187><c_77>	Orbital osteomyelitis	ICD9CM:37603
<a_14><b_222><c_15>	Exophthalmos, unspecified	ICD9CM:37630
<a_14><b_183><c_38>	Orbital hemorrhage	ICD9CM:37632
<a_14><b_173><c_8>	Orbital edema or congestion	ICD9CM:37633
<a_14><b_108><c_146>	Enophthalmos due to trauma or surgery	ICD9CM:37652
<a_14><b_222><c_128>	Other orbital disorders	ICD9CM:37689
<a_47><b_230><c_179>	Papilledema associated with increased intracranial pressure	ICD9CM:37701
<a_93><b_103><c_97>	Optic atrophy, unspecified	ICD9CM:37710
<a_93><b_56><c_145>	Hereditary optic atrophy	ICD9CM:37716
<a_47><b_46><c_26>	Optic neuritis, unspecified	ICD9CM:37730
<a_47><b_46><c_86>	Other optic neuritis	ICD9CM:37739
<a_47><b_168><c_86>	Ischemic optic neuropathy	ICD9CM:37741
<a_93><b_32><c_224>	Other disorders of optic nerve	ICD9CM:37749
<a_93><b_245><c_107>	Cortical blindness	ICD9CM:37775
<a_10><b_123><c_210>	Exotropia, unspecified	ICD9CM:37810
<a_10><b_123><c_18>	Exophoria	ICD9CM:37842
<a_10><b_222><c_231>	Paralytic strabismus, unspecified	ICD9CM:37850
<a_10><b_44><c_230>	Third or oculomotor nerve palsy, partial	ICD9CM:37851
<a_10><b_44><c_113>	Third or oculomotor nerve palsy, total	ICD9CM:37852
<a_10><b_248><c_211>	Sixth or abducens nerve palsy	ICD9CM:37854
<a_10><b_221><c_15>	Internuclear ophthalmoplegia	ICD9CM:37886
<a_10><b_123><c_15>	Other dissociated deviation of eye movements	ICD9CM:37887
<a_10><b_220><c_133>	Unspecified disorder of eye movements	ICD9CM:3789
<a_197><b_242><c_15>	Scleritis, unspecified	ICD9CM:37900
<a_47><b_126><c_104>	Vitreous degeneration	ICD9CM:37921
<a_35><b_173><c_224>	Crystalline deposits in vitreous	ICD9CM:37922
<a_47><b_7><c_52>	Vitreous hemorrhage	ICD9CM:37923
<a_35><b_26><c_32>	Other vitreous opacities	ICD9CM:37924
<a_10><b_32><c_149>	Abnormal pupillary function, unspecified	ICD9CM:37940
<a_10><b_0><c_16>	Anisocoria	ICD9CM:37941
<a_208><b_191><c_103>	Miosis (persistent), not due to miotics	ICD9CM:37942
<a_10><b_0><c_43>	Mydriasis (persistent), not due to mydriatics	ICD9CM:37943
<a_10><b_86><c_133>	Nystagmus, unspecified	ICD9CM:37950
<a_197><b_48><c_49>	Other specified disorders of eye and adnexa	ICD9CM:3798
<a_197><b_216><c_150>	Disorder of eye, unspecified	ICD9CM:37990
<a_14><b_176><c_210>	Pain in or around eye	ICD9CM:37991
<a_14><b_222><c_79>	Swelling or mass of eye	ICD9CM:37992
<a_9><b_215><c_178>	Infective otitis externa, unspecified	ICD9CM:38010
<a_9><b_45><c_151>	Other acute otitis externa	ICD9CM:38022
<a_155><b_44><c_215>	Impacted cerumen	ICD9CM:3804
<a_155><b_6><c_50>	Nonsuppurative otitis media, not specified as acute or chronic	ICD9CM:3814
<a_9><b_182><c_160>	Acute suppurative otitis media with spontaneous rupture of eardrum	ICD9CM:38201
<a_155><b_6><c_133>	Unspecified otitis media	ICD9CM:3829
<a_9><b_182><c_40>	Acute mastoiditis without complications	ICD9CM:38300
<a_9><b_45><c_178>	Unspecified mastoiditis	ICD9CM:3839
<a_155><b_154><c_3>	Other disorders of middle ear and mastoid	ICD9CM:38589
<a_155><b_43><c_73>	M̩ni̬re's disease, unspecified	ICD9CM:38600
<a_155><b_43><c_152>	Benign paroxysmal positional vertigo	ICD9CM:38611
<a_155><b_43><c_195>	Vestibular neuronitis	ICD9CM:38612
<a_155><b_43><c_247>	Other peripheral vertigo	ICD9CM:38619
<a_155><b_43><c_19>	Labyrinthitis, unspecified	ICD9CM:38630
<a_155><b_54><c_84>	Tinnitus, unspecified	ICD9CM:38830
<a_155><b_27><c_202>	Cerebrospinal fluid otorrhea	ICD9CM:38861
<a_155><b_154><c_241>	Other otorrhea	ICD9CM:38869
<a_155><b_54><c_245>	Otalgia, unspecified	ICD9CM:38870
<a_155><b_154><c_195>	Other disorders of ear	ICD9CM:3888
<a_155><b_22><c_17>	Conductive hearing loss, unspecified	ICD9CM:38900
<a_155><b_22><c_2>	Sensorineural hearing loss, unspecified	ICD9CM:38910
<a_155><b_37><c_46>	Neural hearing loss, bilateral	ICD9CM:38912
<a_155><b_37><c_88>	Sensorineural hearing loss, unilateral	ICD9CM:38915
<a_155><b_70><c_15>	Deaf, nonspeaking, not elsewhere classifiable	ICD9CM:3897
<a_155><b_22><c_4>	Other specified forms of hearing loss	ICD9CM:3898
<a_155><b_22><c_3>	Unspecified hearing loss	ICD9CM:3899
<a_177><b_101><c_164>	Rheumatic fever without mention of heart involvement	ICD9CM:390
<a_177><b_101><c_228>	Acute rheumatic endocarditis	ICD9CM:3911
<a_204><b_100><c_1>	Mitral stenosis	ICD9CM:3940
<a_204><b_181><c_1>	Rheumatic mitral insufficiency	ICD9CM:3941
<a_204><b_100><c_16>	Mitral stenosis with insufficiency	ICD9CM:3942
<a_204><b_8><c_52>	Other and unspecified mitral valve diseases	ICD9CM:3949
<a_204><b_192><c_73>	Rheumatic aortic stenosis	ICD9CM:3950
<a_204><b_192><c_127>	Rheumatic aortic stenosis with insufficiency	ICD9CM:3952
<a_204><b_33><c_112>	Other and unspecified rheumatic aortic diseases	ICD9CM:3959
<a_204><b_87><c_42>	Mitral valve stenosis and aortic valve stenosis	ICD9CM:3960
<a_204><b_87><c_153>	Mitral valve stenosis and aortic valve insufficiency	ICD9CM:3961
<a_204><b_87><c_204>	Mitral valve insufficiency and aortic valve stenosis	ICD9CM:3962
<a_204><b_120><c_173>	Mitral valve insufficiency and aortic valve insufficiency	ICD9CM:3963
<a_204><b_221><c_140>	Multiple involvement of mitral and aortic valves	ICD9CM:3968
<a_204><b_181><c_2>	Mitral and aortic valve diseases, unspecified	ICD9CM:3969
<a_204><b_92><c_67>	Diseases of tricuspid valve	ICD9CM:3970
<a_204><b_53><c_220>	Rheumatic heart disease, unspecified	ICD9CM:39890
<a_134><b_112><c_92>	Rheumatic heart failure (congestive)	ICD9CM:39891
<a_87><b_217><c_123>	Malignant essential hypertension	ICD9CM:4010
<a_87><b_113><c_123>	Benign essential hypertension	ICD9CM:4011
<a_87><b_184><c_39>	Unspecified essential hypertension	ICD9CM:4019
<a_87><b_244><c_78>	Malignant hypertensive heart disease with heart failure	ICD9CM:40201
<a_87><b_183><c_106>	Unspecified hypertensive heart disease without heart failure	ICD9CM:40290
<a_226><b_88><c_133>	Unspecified hypertensive heart disease with heart failure	ICD9CM:40291
<a_226><b_156><c_131>	Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage I through stage IV, or unspecified	ICD9CM:40300
<a_226><b_221><c_18>	Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage V or end stage renal disease	ICD9CM:40301
<a_226><b_156><c_42>	Hypertensive chronic kidney disease, benign, with chronic kidney disease stage I through stage IV, or unspecified	ICD9CM:40310
<a_226><b_192><c_86>	Hypertensive chronic kidney disease, benign, with chronic kidney disease stage V or end stage renal disease	ICD9CM:40311
<a_226><b_156><c_46>	Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified	ICD9CM:40390
<a_226><b_192><c_195>	Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease	ICD9CM:40391
<a_226><b_233><c_106>	Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage V or end stage renal disease	ICD9CM:40403
<a_226><b_119><c_16>	Hypertensive heart and chronic kidney disease, benign, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified	ICD9CM:40411
<a_226><b_119><c_1>	Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified	ICD9CM:40491
<a_226><b_233><c_125>	Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage V or end stage renal disease	ICD9CM:40492
<a_226><b_119><c_61>	Hypertensive heart and chronic kidney disease, unspecified, with heart failure and chronic kidney disease stage V or end stage renal disease	ICD9CM:40493
<a_87><b_222><c_67>	Malignant renovascular hypertension	ICD9CM:40501
<a_87><b_170><c_123>	Unspecified renovascular hypertension	ICD9CM:40591
<a_87><b_170><c_36>	Other unspecified secondary hypertension	ICD9CM:40599
<a_59><b_212><c_11>	Acute myocardial infarction of anterolateral wall, initial episode of care	ICD9CM:41001
<a_59><b_244><c_157>	Acute myocardial infarction of anterolateral wall, subsequent episode of care	ICD9CM:41002
<a_59><b_142><c_204>	Acute myocardial infarction of other anterior wall, initial episode of care	ICD9CM:41011
<a_59><b_192><c_161>	Acute myocardial infarction of other anterior wall, subsequent episode of care	ICD9CM:41012
<a_59><b_212><c_16>	Acute myocardial infarction of inferolateral wall, episode of care unspecified	ICD9CM:41020
<a_59><b_212><c_77>	Acute myocardial infarction of inferolateral wall, initial episode of care	ICD9CM:41021
<a_59><b_8><c_50>	Acute myocardial infarction of inferolateral wall, subsequent episode of care	ICD9CM:41022
<a_59><b_212><c_1>	Acute myocardial infarction of inferoposterior wall, initial episode of care	ICD9CM:41031
<a_59><b_8><c_36>	Acute myocardial infarction of inferoposterior wall, subsequent episode of care	ICD9CM:41032
<a_59><b_181><c_190>	Acute myocardial infarction of other inferior wall, initial episode of care	ICD9CM:41041
<a_59><b_212><c_71>	Acute myocardial infarction of other inferior wall, subsequent episode of care	ICD9CM:41042
<a_59><b_181><c_153>	Acute myocardial infarction of other lateral wall, initial episode of care	ICD9CM:41051
<a_59><b_212><c_126>	True posterior wall infarction, initial episode of care	ICD9CM:41061
<a_59><b_144><c_222>	Subendocardial infarction, initial episode of care	ICD9CM:41071
<a_59><b_44><c_31>	Subendocardial infarction, subsequent episode of care	ICD9CM:41072
<a_59><b_144><c_236>	Acute myocardial infarction of other specified sites, initial episode of care	ICD9CM:41081
<a_59><b_44><c_160>	Acute myocardial infarction of other specified sites, subsequent episode of care	ICD9CM:41082
<a_59><b_144><c_21>	Acute myocardial infarction of unspecified site, episode of care unspecified	ICD9CM:41090
<a_59><b_144><c_121>	Acute myocardial infarction of unspecified site, initial episode of care	ICD9CM:41091
<a_59><b_163><c_98>	Acute myocardial infarction of unspecified site, subsequent episode of care	ICD9CM:41092
<a_58><b_220><c_206>	Postmyocardial infarction syndrome	ICD9CM:4110
<a_20><b_224><c_36>	Intermediate coronary syndrome	ICD9CM:4111
<a_20><b_220><c_110>	Acute coronary occlusion without myocardial infarction	ICD9CM:41181
<a_20><b_224><c_63>	Other acute and subacute forms of ischemic heart disease, other	ICD9CM:41189
<a_58><b_105><c_149>	Old myocardial infarction	ICD9CM:412
<a_20><b_160><c_211>	Prinzmetal angina	ICD9CM:4131
<a_20><b_157><c_63>	Other and unspecified angina pectoris	ICD9CM:4139
<a_20><b_158><c_166>	Coronary atherosclerosis of unspecified type of vessel, native or graft	ICD9CM:41400
<a_20><b_158><c_210>	Coronary atherosclerosis of native coronary artery	ICD9CM:41401
<a_20><b_2><c_50>	Coronary atherosclerosis of autologous vein bypass graft	ICD9CM:41402
<a_20><b_2><c_166>	Coronary atherosclerosis of nonautologous biological bypass graft	ICD9CM:41403
<a_20><b_2><c_106>	Coronary atherosclerosis of artery bypass graft	ICD9CM:41404
<a_20><b_183><c_46>	Coronary atherosclerosis of unspecified bypass graft	ICD9CM:41405
<a_20><b_165><c_113>	Aneurysm of heart (wall)	ICD9CM:41410
<a_20><b_144><c_26>	Aneurysm of coronary vessels	ICD9CM:41411
<a_20><b_46><c_26>	Dissection of coronary artery	ICD9CM:41412
<a_20><b_165><c_230>	Other aneurysm of heart	ICD9CM:41419
<a_20><b_212><c_118>	Chronic total occlusion of coronary artery	ICD9CM:4142
<a_58><b_191><c_137>	Other specified forms of chronic ischemic heart disease	ICD9CM:4148
<a_58><b_246><c_46>	Chronic ischemic heart disease, unspecified	ICD9CM:4149
<a_58><b_121><c_164>	Acute cor pulmonale	ICD9CM:4150
<a_191><b_151><c_164>	Iatrogenic pulmonary embolism and infarction	ICD9CM:41511
<a_191><b_151><c_1>	Septic pulmonary embolism	ICD9CM:41512
<a_191><b_151><c_4>	Other pulmonary embolism and infarction	ICD9CM:41519
<a_191><b_214><c_236>	Primary pulmonary hypertension	ICD9CM:4160
<a_191><b_11><c_113>	Chronic pulmonary embolism	ICD9CM:4162
<a_58><b_225><c_86>	Other chronic pulmonary heart diseases	ICD9CM:4168
<a_58><b_225><c_113>	Chronic pulmonary heart disease, unspecified	ICD9CM:4169
<a_191><b_188><c_92>	Other specified diseases of pulmonary circulation	ICD9CM:4178
<a_191><b_188><c_104>	Unspecified disease of pulmonary circulation	ICD9CM:4179
<a_177><b_217><c_16>	Acute pericarditis in diseases classified elsewhere	ICD9CM:4200
<a_177><b_217><c_133>	Acute pericarditis, unspecified	ICD9CM:42090
<a_177><b_217><c_1>	Acute idiopathic pericarditis	ICD9CM:42091
<a_177><b_217><c_88>	Other acute pericarditis	ICD9CM:42099
<a_177><b_101><c_26>	Acute and subacute bacterial endocarditis	ICD9CM:4210
<a_177><b_101><c_58>	Acute endocarditis, unspecified	ICD9CM:4219
<a_177><b_8><c_220>	Acute myocarditis in diseases classified elsewhere	ICD9CM:4220
<a_177><b_8><c_1>	Idiopathic myocarditis	ICD9CM:42291
<a_177><b_8><c_43>	Septic myocarditis	ICD9CM:42292
<a_177><b_8><c_17>	Toxic myocarditis	ICD9CM:42293
<a_177><b_152><c_95>	Hemopericardium	ICD9CM:4230
<a_177><b_209><c_162>	Adhesive pericarditis	ICD9CM:4231
<a_235><b_39><c_207>	Constrictive pericarditis	ICD9CM:4232
<a_177><b_160><c_67>	Cardiac tamponade	ICD9CM:4233
<a_177><b_161><c_17>	Other specified diseases of pericardium	ICD9CM:4238
<a_177><b_161><c_1>	Unspecified disease of pericardium	ICD9CM:4239
<a_204><b_92><c_116>	Mitral valve disorders	ICD9CM:4240
<a_204><b_83><c_34>	Aortic valve disorders	ICD9CM:4241
<a_204><b_126><c_19>	Tricuspid valve disorders, specified as nonrheumatic	ICD9CM:4242
<a_204><b_250><c_239>	Pulmonary valve disorders	ICD9CM:4243
<a_177><b_108><c_93>	Endocarditis, valve unspecified, unspecified cause	ICD9CM:42490
<a_235><b_141><c_103>	Hypertrophic cardiomyopathy	ICD9CM:4251
<a_235><b_6><c_175>	Hypertrophic obstructive cardiomyopathy	ICD9CM:42511
<a_235><b_100><c_169>	Endocardial fibroelastosis	ICD9CM:4253
<a_235><b_158><c_233>	Other primary cardiomyopathies	ICD9CM:4254
<a_235><b_141><c_227>	Alcoholic cardiomyopathy	ICD9CM:4255
<a_235><b_181><c_189>	Nutritional and metabolic cardiomyopathy	ICD9CM:4257
<a_235><b_100><c_92>	Cardiomyopathy in other diseases classified elsewhere	ICD9CM:4258
<a_134><b_50><c_93>	Secondary cardiomyopathy, unspecified	ICD9CM:4259
<a_224><b_192><c_193>	Atrioventricular block, complete	ICD9CM:4260
<a_224><b_221><c_50>	Atrioventricular block, unspecified	ICD9CM:42610
<a_224><b_192><c_140>	First degree atrioventricular block	ICD9CM:42611
<a_224><b_192><c_161>	Mobitz (type) II atrioventricular block	ICD9CM:42612
<a_224><b_192><c_11>	Other second degree atrioventricular block	ICD9CM:42613
<a_224><b_100><c_1>	Left bundle branch hemiblock	ICD9CM:4262
<a_224><b_95><c_227>	Other left bundle branch block	ICD9CM:4263
<a_224><b_100><c_7>	Right bundle branch block	ICD9CM:4264
<a_224><b_172><c_226>	Right bundle branch block and left posterior fascicular block	ICD9CM:42651
<a_224><b_172><c_230>	Right bundle branch block and left anterior fascicular block	ICD9CM:42652
<a_224><b_100><c_177>	Other bilateral bundle branch block	ICD9CM:42653
<a_224><b_158><c_183>	Trifascicular block	ICD9CM:42654
<a_224><b_192><c_116>	Other heart block	ICD9CM:4266
<a_224><b_222><c_117>	Anomalous atrioventricular excitation	ICD9CM:4267
<a_224><b_217><c_18>	Long QT syndrome	ICD9CM:42682
<a_224><b_221><c_54>	Other specified conduction disorders	ICD9CM:42689
<a_224><b_31><c_67>	Conduction disorder, unspecified	ICD9CM:4269
<a_252><b_100><c_92>	Paroxysmal supraventricular tachycardia	ICD9CM:4270
<a_252><b_158><c_39>	Paroxysmal ventricular tachycardia	ICD9CM:4271
<a_252><b_100><c_173>	Paroxysmal tachycardia, unspecified	ICD9CM:4272
<a_252><b_183><c_70>	Atrial fibrillation	ICD9CM:42731
<a_252><b_183><c_58>	Atrial flutter	ICD9CM:42732
<a_252><b_158><c_73>	Ventricular fibrillation	ICD9CM:42741
<a_252><b_39><c_161>	Cardiac arrest	ICD9CM:4275
<a_252><b_172><c_183>	Supraventricular premature beats	ICD9CM:42761
<a_252><b_167><c_236>	Other premature beats	ICD9CM:42769
<a_252><b_112><c_183>	Sinoatrial node dysfunction	ICD9CM:42781
<a_252><b_73><c_33>	Other specified cardiac dysrhythmias	ICD9CM:42789
<a_252><b_87><c_123>	Cardiac dysrhythmia, unspecified	ICD9CM:4279
<a_134><b_170><c_197>	Congestive heart failure, unspecified	ICD9CM:4280
<a_134><b_238><c_123>	Left heart failure	ICD9CM:4281
<a_134><b_170><c_43>	Systolic heart failure, unspecified	ICD9CM:42820
<a_134><b_222><c_140>	Acute systolic heart failure	ICD9CM:42821
<a_134><b_95><c_42>	Chronic systolic heart failure	ICD9CM:42822
<a_134><b_217><c_162>	Acute on chronic systolic heart failure	ICD9CM:42823
<a_134><b_170><c_16>	Diastolic heart failure, unspecified	ICD9CM:42830
<a_134><b_217><c_141>	Acute diastolic heart failure	ICD9CM:42831
<a_134><b_95><c_189>	Chronic diastolic heart failure	ICD9CM:42832
<a_134><b_217><c_227>	Acute on chronic diastolic heart failure	ICD9CM:42833
<a_134><b_127><c_148>	Combined systolic and diastolic heart failure, unspecified	ICD9CM:42840
<a_134><b_254><c_255>	Acute combined systolic and diastolic heart failure	ICD9CM:42841
<a_134><b_8><c_12>	Chronic combined systolic and diastolic heart failure	ICD9CM:42842
<a_134><b_244><c_237>	Acute on chronic combined systolic and diastolic heart failure	ICD9CM:42843
<a_134><b_6><c_26>	Heart failure, unspecified	ICD9CM:4289
<a_177><b_8><c_12>	Myocarditis, unspecified	ICD9CM:4290
<a_235><b_206><c_210>	Myocardial degeneration	ICD9CM:4291
<a_235><b_87><c_94>	Cardiomegaly	ICD9CM:4293
<a_100><b_235><c_158>	Functional disturbances following cardiac surgery	ICD9CM:4294
<a_177><b_165><c_201>	Rupture of chordae tendineae	ICD9CM:4295
<a_177><b_165><c_125>	Rupture of papillary muscle	ICD9CM:4296
<a_58><b_8><c_2>	Acquired cardiac septal defect	ICD9CM:42971
<a_58><b_8><c_1>	Certain sequelae of myocardial infarction, not elsewhere classified, other	ICD9CM:42979
<a_235><b_171><c_133>	Takotsubo syndrome	ICD9CM:42983
<a_177><b_0><c_82>	Other ill-defined heart diseases	ICD9CM:42989
<a_177><b_7><c_79>	Heart disease, unspecified	ICD9CM:4299
<a_117><b_59><c_117>	Subarachnoid hemorrhage	ICD9CM:430
<a_117><b_36><c_83>	Intracerebral hemorrhage	ICD9CM:431
<a_117><b_59><c_197>	Nontraumatic extradural hemorrhage	ICD9CM:4320
<a_117><b_126><c_242>	Subdural hemorrhage	ICD9CM:4321
<a_117><b_228><c_78>	Unspecified intracranial hemorrhage	ICD9CM:4329
<a_46><b_7><c_2>	Occlusion and stenosis of basilar artery without mention of cerebral infarction	ICD9CM:43300
<a_46><b_26><c_242>	Occlusion and stenosis of basilar artery with cerebral infarction	ICD9CM:43301
<a_46><b_206><c_242>	Occlusion and stenosis of carotid artery without mention of cerebral infarction	ICD9CM:43310
<a_46><b_26><c_149>	Occlusion and stenosis of carotid artery with cerebral infarction	ICD9CM:43311
<a_46><b_7><c_92>	Occlusion and stenosis of vertebral artery without mention of cerebral infarction	ICD9CM:43320
<a_46><b_158><c_48>	Occlusion and stenosis of vertebral artery with cerebral infarction	ICD9CM:43321
<a_46><b_112><c_19>	Occlusion and stenosis of multiple and bilateral precerebral arteries without mention of cerebral infarction	ICD9CM:43330
<a_46><b_49><c_152>	Occlusion and stenosis of multiple and bilateral precerebral arteries with cerebral infarction	ICD9CM:43331
<a_46><b_87><c_242>	Occlusion and stenosis of other specified precerebral artery without mention of cerebral infarction	ICD9CM:43380
<a_46><b_246><c_193>	Occlusion and stenosis of unspecified precerebral artery with cerebral infarction	ICD9CM:43391
<a_46><b_35><c_150>	Cerebral thrombosis without mention of cerebral infarction	ICD9CM:43400
<a_46><b_152><c_95>	Cerebral thrombosis with cerebral infarction	ICD9CM:43401
<a_46><b_35><c_170>	Cerebral embolism without mention of cerebral infarction	ICD9CM:43410
<a_46><b_160><c_83>	Cerebral embolism with cerebral infarction	ICD9CM:43411
<a_46><b_13><c_250>	Cerebral artery occlusion, unspecified without mention of cerebral infarction	ICD9CM:43490
<a_46><b_222><c_140>	Cerebral artery occlusion, unspecified with cerebral infarction	ICD9CM:43491
<a_117><b_245><c_38>	Subclavian steal syndrome	ICD9CM:4352
<a_46><b_35><c_86>	Vertebrobasilar artery syndrome	ICD9CM:4353
<a_117><b_105><c_1>	Other specified transient cerebral ischemias	ICD9CM:4358
<a_117><b_105><c_2>	Unspecified transient cerebral ischemia	ICD9CM:4359
<a_117><b_74><c_96>	Acute, but ill-defined, cerebrovascular disease	ICD9CM:436
<a_117><b_191><c_38>	Cerebral atherosclerosis	ICD9CM:4370
<a_117><b_191><c_249>	Other generalized ischemic cerebrovascular disease	ICD9CM:4371
<a_117><b_204><c_55>	Hypertensive encephalopathy	ICD9CM:4372
<a_117><b_0><c_82>	Cerebral aneurysm, nonruptured	ICD9CM:4373
<a_117><b_206><c_183>	Moyamoya disease	ICD9CM:4375
<a_117><b_123><c_183>	Nonpyogenic thrombosis of intracranial venous sinus	ICD9CM:4376
<a_117><b_105><c_210>	Transient global amnesia	ICD9CM:4377
<a_117><b_48><c_224>	Other ill-defined cerebrovascular disease	ICD9CM:4378
<a_117><b_46><c_242>	Unspecified cerebrovascular disease	ICD9CM:4379
<a_247><b_130><c_161>	Late effects of cerebrovascular disease, cognitive deficits	ICD9CM:4380
<a_247><b_123><c_15>	Late effects of cerebrovascular disease, speech and language deficit, unspecified	ICD9CM:43810
<a_247><b_220><c_113>	Late effects of cerebrovascular disease, aphasia	ICD9CM:43811
<a_247><b_220><c_70>	Late effects of cerebrovascular disease, dysphasia	ICD9CM:43812
<a_247><b_220><c_3>	Late effects of cerebrovascular disease, dysarthria	ICD9CM:43813
<a_247><b_123><c_210>	Late effects of cerebrovascular disease, other speech and language deficits	ICD9CM:43819
<a_247><b_48><c_48>	Late effects of cerebrovascular disease, hemiplegia affecting unspecified side	ICD9CM:43820
<a_247><b_74><c_210>	Late effects of cerebrovascular disease, hemiplegia affecting dominant side	ICD9CM:43821
<a_247><b_46><c_106>	Late effects of cerebrovascular disease, hemiplegia affecting nondominant side	ICD9CM:43822
<a_247><b_168><c_161>	Late effects of cerebrovascular disease, monoplegia of upper limb affecting unspecified side	ICD9CM:43830
<a_247><b_168><c_87>	Late effects of cerebrovascular disease, monoplegia of lower limb affecting unspecified side	ICD9CM:43840
<a_247><b_163><c_102>	Late effects of cerebrovascular disease, other paralytic syndrome affecting unspecified side	ICD9CM:43850
<a_247><b_50><c_102>	Late effects of cerebrovascular disease, other paralytic syndrome, bilateral	ICD9CM:43853
<a_247><b_130><c_38>	Late effects of cerebrovascular disease, alterations of sensations	ICD9CM:4386
<a_93><b_168><c_113>	Late effects of cerebrovascular disease, disturbances of vision	ICD9CM:4387
<a_247><b_36><c_79>	Other late effects of cerebrovascular disease, dysphagia	ICD9CM:43882
<a_247><b_115><c_214>	Other late effects of cerebrovascular disease, facial weakness	ICD9CM:43883
<a_247><b_59><c_242>	Other late effects of cerebrovascular disease, ataxia	ICD9CM:43884
